Abb,Area,Pop
AL,135767,5108468
AK,1723337,733406
AZ,295234,7431344
AR,137732,3067732
CA,423967,38965193
CO,269601,5877610
CT,14357,3617176
DE,6446,1031890
FL,170312,22610726
GA,153910,11029227
HI,28313,1435138
ID,216443,1964726
IL,149995,12549689
IN,94326,6862199
IA,145746,3207004
KS,213100,2940546
KY,104656,4526154
LA,135659,4573749
ME,91633,1395722
MD,32131,6180253
MA,27336,7001399
MI,250487,10037261
MN,225163,5737915
MS,125438,2939690
MO,180540,6196156
MT,380831,1132812
NE,200330,1978379
NV,286380,3194176
NH,24214,1402054
NJ,22591,9290841
NM,314917,2114371
NY,141297,19571216
NC,139391,10835491
ND,183108,783926
OH,116098,11785935
OK,181037,4053824
OR,254799,4233358
PA,119280,12961683
RI,4001,1095962
SC,82933,5373555
SD,199729,919318
TN,109153,7126489
TX,695662,30503301
UT,219882,3417734
VT,24906,647464
VA,110787,8715698
WA,184661,7812880
WV,62756,1770071
WI,169635,5910955
WY,253335,584057
